"ip","port","protocol","anonymity","lastTested","allowsRefererHeader","allowsUserAgentHeader","allowsCustomHeaders","allowsCookies","allowsPost","allowsHttps","country","connectTime","downloadSpeed","secondsToFirstByte","uptime"
"185.162.228.0","80","http","anonymous","2024-11-25 11:50:10","true","true","true","true","true","","DK","0.425","467.000","0.449","99.991"
"185.162.228.1","80","http","anonymous","2024-11-25 11:50:16","true","true","true","true","true","","DK","0.036","438.000","0.479","99.989"
"185.162.228.10","80","http","anonymous","2024-11-25 11:50:20","true","true","true","true","true","","DK","0.102","1824.000","0.114","99.988"
"185.162.228.100","80","http","anonymous","2024-11-25 11:50:15","true","true","true","true","true","","DK","0.126","1510.000","0.139","99.990"
"185.162.228.101","80","http","anonymous","2024-11-25 11:50:14","true","true","true","true","true","","DK","0.005","10400.000","0.020","99.988"
"185.162.228.102","80","http","anonymous","2024-11-25 11:50:14","true","true","true","true","true","","DK","0.032","3317.000","0.063","99.991"
"185.162.228.103","80","http","anonymous","2024-11-25 11:50:12","true","true","true","true","true","","DK","0.115","1521.000","0.138","99.989"
"185.162.228.104","80","http","anonymous","2024-11-25 11:50:15","true","true","true","true","true","","DK","0.162","1000.000","0.211","99.993"
"185.162.228.105","80","http","anonymous","2024-11-25 11:50:18","true","true","true","true","true","","DK","0.134","1274.000","0.164","99.991"
"185.162.228.106","80","http","anonymous","2024-11-25 11:50:16","true","true","true","true","true","","DK","0.059","2413.000","0.087","99.988"
"185.162.228.107","80","http","anonymous","2024-11-25 11:50:18","true","true","true","true","true","","DK","0.106","1713.000","0.123","99.990"
"185.162.228.108","80","http","anonymous","2024-11-25 11:50:12","true","true","true","true","true","","DK","0.040","3559.000","0.059","99.993"
"185.162.228.109","80","http","anonymous","2024-11-25 11:50:18","true","true","true","true","true","","DK","0.253","771.000","0.271","99.990"
"185.162.228.11","80","http","anonymous","2024-11-25 11:50:10","true","true","true","true","true","","DK","0.117","1536.000","0.136","99.990"
"185.162.228.110","80","http","anonymous","2024-11-25 11:50:21","true","true","true","true","true","","DK","0.194","866.000","0.240","99.989"
"185.162.228.111","80","http","anonymous","2024-11-25 11:50:12","true","true","true","true","true","","DK","0.079","2019.000","0.104","99.988"
"185.162.228.112","80","http","anonymous","2024-11-25 11:50:09","true","true","true","true","true","","DK","0.023","2548.000","0.083","99.991"
"185.162.228.113","80","http","anonymous","2024-11-25 11:50:11","true","true","true","true","true","","DK","0.159","1193.000","0.177","99.991"
"185.162.228.114","80","http","anonymous","2024-11-25 11:50:19","true","true","true","true","true","","DK","0.032","1485.000","0.140","99.988"
"185.162.228.115","80","http","anonymous","2024-11-25 11:50:18","true","true","true","true","true","","DK","0.314","623.000","0.336","99.988"
"185.162.228.116","80","http","anonymous","2024-11-25 11:50:06","true","true","true","true","true","","DK","0.210","846.000","0.248","99.990"
